goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkInit-8     	      79	  15702828 ns/op	16000069 B/op	  400001 allocs/op
BenchmarkInit-8     	      67	  16281485 ns/op	16000081 B/op	  400001 allocs/op
BenchmarkInit-8     	      80	  14952004 ns/op	16000054 B/op	  400001 allocs/op
BenchmarkInit-8     	      69	  15051505 ns/op	16000078 B/op	  400001 allocs/op
BenchmarkInit-8     	      76	  15548041 ns/op	16000046 B/op	  400001 allocs/op
BenchmarkInit-8     	      73	  16984331 ns/op	16000066 B/op	  400001 allocs/op
BenchmarkInit-8     	      72	  14982069 ns/op	16000054 B/op	  400001 allocs/op
BenchmarkInit-8     	      79	  15484305 ns/op	16000053 B/op	  400001 allocs/op
BenchmarkInit-8     	      64	  23281188 ns/op	16000099 B/op	  400001 allocs/op
BenchmarkInit-8     	      76	  16404306 ns/op	16000054 B/op	  400001 allocs/op
BenchmarkInit-8     	      66	  16692998 ns/op	16000064 B/op	  400001 allocs/op
BenchmarkInit-8     	      72	  15507892 ns/op	16000038 B/op	  400001 allocs/op
BenchmarkInit-8     	      73	  15306344 ns/op	16000052 B/op	  400001 allocs/op
BenchmarkInit-8     	      69	  15983191 ns/op	16000053 B/op	  400001 allocs/op
BenchmarkInit-8     	      68	  16289133 ns/op	16000053 B/op	  400001 allocs/op
BenchmarkInit-8     	      69	  15092051 ns/op	16000046 B/op	  400001 allocs/op
BenchmarkInit-8     	      68	  14909620 ns/op	16000042 B/op	  400001 allocs/op
BenchmarkInit-8     	      72	  16843478 ns/op	16000058 B/op	  400001 allocs/op
BenchmarkInit-8     	      72	  15719901 ns/op	16000046 B/op	  400001 allocs/op
BenchmarkInit-8     	      69	  15080675 ns/op	16000054 B/op	  400001 allocs/op
BenchmarkInsert-8   	      60	  16677036 ns/op	11882584 B/op	  279951 allocs/op
BenchmarkInsert-8   	      74	  17719792 ns/op	11882594 B/op	  279951 allocs/op
BenchmarkInsert-8   	      70	  18156612 ns/op	11882589 B/op	  279951 allocs/op
BenchmarkInsert-8   	      63	  16988470 ns/op	11882606 B/op	  279951 allocs/op
BenchmarkInsert-8   	      69	  18548923 ns/op	11882594 B/op	  279951 allocs/op
BenchmarkInsert-8   	      68	  17699258 ns/op	11882605 B/op	  279951 allocs/op
BenchmarkInsert-8   	      66	  16796515 ns/op	11882597 B/op	  279951 allocs/op
BenchmarkInsert-8   	      70	  17181652 ns/op	11882610 B/op	  279951 allocs/op
BenchmarkInsert-8   	      69	  17276609 ns/op	11882596 B/op	  279951 allocs/op
BenchmarkInsert-8   	      62	  16705089 ns/op	11882603 B/op	  279951 allocs/op
BenchmarkInsert-8   	      61	  16618825 ns/op	11882593 B/op	  279951 allocs/op
BenchmarkInsert-8   	      60	  17051865 ns/op	11882587 B/op	  279951 allocs/op
BenchmarkInsert-8   	      72	  18224562 ns/op	11882600 B/op	  279951 allocs/op
BenchmarkInsert-8   	      67	  18600142 ns/op	11882601 B/op	  279951 allocs/op
BenchmarkInsert-8   	      64	  17101508 ns/op	11882598 B/op	  279951 allocs/op
BenchmarkInsert-8   	      72	  18016355 ns/op	11882600 B/op	  279951 allocs/op
BenchmarkInsert-8   	      67	  16891845 ns/op	11882601 B/op	  279951 allocs/op
BenchmarkInsert-8   	      69	  17181883 ns/op	11882599 B/op	  279951 allocs/op
BenchmarkInsert-8   	      68	  18531819 ns/op	11882595 B/op	  279951 allocs/op
BenchmarkInsert-8   	      70	  16838090 ns/op	11882610 B/op	  279951 allocs/op
BenchmarkSet-8      	      36	  33680043 ns/op	12800010 B/op	  320000 allocs/op
BenchmarkSet-8      	      33	  32175513 ns/op	12800014 B/op	  320000 allocs/op
BenchmarkSet-8      	      33	  34475470 ns/op	12800020 B/op	  320000 allocs/op
BenchmarkSet-8      	      36	  33883480 ns/op	12800005 B/op	  320000 allocs/op
BenchmarkSet-8      	      37	  32469157 ns/op	12800023 B/op	  320000 allocs/op
BenchmarkSet-8      	      36	  32190104 ns/op	12800008 B/op	  320000 allocs/op
