OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkInit-8     	       9	 117040295 ns/op	49599342 B/op	 1199986 allocs/op
BenchmarkInit-8     	      10	 111979995 ns/op	49599383 B/op	 1199987 allocs/op
BenchmarkInit-8     	       9	 112981740 ns/op	49599360 B/op	 1199986 allocs/op
BenchmarkInit-8     	       9	 113938759 ns/op	49599382 B/op	 1199987 allocs/op
BenchmarkInit-8     	      10	 112319430 ns/op	49599363 B/op	 1199986 allocs/op
BenchmarkInit-8     	       9	 118902527 ns/op	49599392 B/op	 1199987 allocs/op
BenchmarkInit-8     	       9	 111582294 ns/op	49599413 B/op	 1199987 allocs/op
BenchmarkInit-8     	      10	 112540165 ns/op	49599372 B/op	 1199986 allocs/op
BenchmarkInit-8     	      10	 116568682 ns/op	49599334 B/op	 1199986 allocs/op
BenchmarkInit-8     	      10	 116591456 ns/op	49599324 B/op	 1199986 allocs/op
BenchmarkInit-8     	       9	 116201404 ns/op	49599349 B/op	 1199986 allocs/op
BenchmarkInit-8     	       9	 116736161 ns/op	49599338 B/op	 1199986 allocs/op
BenchmarkInit-8     	       9	 113651616 ns/op	49599434 B/op	 1199987 allocs/op
BenchmarkInit-8     	       9	 113763586 ns/op	49599434 B/op	 1199987 allocs/op
BenchmarkInit-8     	       9	 120689319 ns/op	49599402 B/op	 1199987 allocs/op
BenchmarkInit-8     	       9	 117065887 ns/op	49599413 B/op	 1199987 allocs/op
BenchmarkInit-8     	       9	 115528225 ns/op	49599370 B/op	 1199986 allocs/op
BenchmarkInit-8     	       9	 114547377 ns/op	49599392 B/op	 1199987 allocs/op
BenchmarkInit-8     	       9	 111958928 ns/op	49599370 B/op	 1199986 allocs/op
BenchmarkInit-8     	       9	 116639422 ns/op	49599328 B/op	 1199986 allocs/op
BenchmarkInsert-8   	       6	 199255574 ns/op	40001264 B/op	  800086 allocs/op
BenchmarkInsert-8   	       6	 198863859 ns/op	40001392 B/op	  800097 allocs/op
BenchmarkInsert-8   	       6	 202018714 ns/op	40001232 B/op	  800084 allocs/op
BenchmarkInsert-8   	       6	 196874475 ns/op	40001312 B/op	  800079 allocs/op
BenchmarkInsert-8   	       6	 197187552 ns/op	40001296 B/op	  800082 allocs/op
BenchmarkInsert-8   	       6	 195833232 ns/op	40001288 B/op	  800092 allocs/op
BenchmarkInsert-8   	       6	 196896503 ns/op	40001248 B/op	  800085 allocs/op
BenchmarkInsert-8   	       6	 199281536 ns/op	40001144 B/op	  800081 allocs/op
BenchmarkInsert-8   	       6	 196558027 ns/op	40000896 B/op	  800060 allocs/op
BenchmarkInsert-8   	       6	 195787806 ns/op	40001536 B/op	  800099 allocs/op
BenchmarkInsert-8   	       6	 197981960 ns/op	40001272 B/op	  800083 allocs/op
BenchmarkInsert-8   	       6	 200035838 ns/op	40001224 B/op	  800080 allocs/op
BenchmarkInsert-8   	       6	 197932976 ns/op	40001336 B/op	  800086 allocs/op
BenchmarkInsert-8   	       6	 200260914 ns/op	40001080 B/op	  800069 allocs/op
BenchmarkInsert-8   	       6	 197926386 ns/op	40001312 B/op	  800088 allocs/op
BenchmarkInsert-8   	       6	 196430287 ns/op	40001144 B/op	  800076 allocs/op
BenchmarkInsert-8   	       6	 198470895 ns/op	40001312 B/op	  800088 allocs/op
BenchmarkInsert-8   	       6	 199147874 ns/op	40001352 B/op	  800085 allocs/op
