OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkInit-8     	     285	   4112404 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     288	   4108807 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     284	   4107803 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     288	   4083041 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     277	   4113527 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     288	   4095932 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     290	   4106832 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     289	   4118602 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     284	   4128259 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     289	   4092930 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     289	   4109892 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     286	   4107017 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     280	   4093123 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     289	   4115402 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     285	   4103738 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     285	   4174874 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     288	   4128919 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     288	   4101327 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     285	   4107772 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     283	   4110367 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInsert-8   	       6	 170342754 ns/op	35200992 B/op	  700072 allocs/op
BenchmarkInsert-8   	       6	 168899361 ns/op	35201224 B/op	  700088 allocs/op
BenchmarkInsert-8   	       6	 167064368 ns/op	35201064 B/op	  700078 allocs/op
BenchmarkInsert-8   	       7	 170150945 ns/op	35201035 B/op	  700077 allocs/op
BenchmarkInsert-8   	       6	 171989348 ns/op	35201200 B/op	  700087 allocs/op
BenchmarkInsert-8   	       6	 172996070 ns/op	35201128 B/op	  700082 allocs/op
BenchmarkInsert-8   	       7	 173134333 ns/op	35201042 B/op	  700076 allocs/op
BenchmarkInsert-8   	       6	 170085459 ns/op	35200976 B/op	  700072 allocs/op
BenchmarkInsert-8   	       7	 172182304 ns/op	35201110 B/op	  700080 allocs/op
BenchmarkInsert-8   	       6	 171382424 ns/op	35200992 B/op	  700073 allocs/op
BenchmarkInsert-8   	       7	 173712882 ns/op	35201193 B/op	  700088 allocs/op
