OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkInit-8     	     285	   4150743 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     285	   4173266 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     283	   4127337 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     286	   4108173 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     288	   4098457 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     283	   4103068 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     286	   4122006 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     282	   4193815 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     283	   4166485 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     284	   4111987 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     280	   4103392 ns/op	 5767222 B/op	       2 allocs/op
BenchmarkInit-8     	     286	   4104911 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     283	   4112596 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     284	   4122741 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     284	   4138895 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     283	   4127553 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     288	   4101016 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     285	   4105112 ns/op	 5767216 B/op	       2 allocs/op
BenchmarkInit-8     	     288	   4139304 ns/op	 5767216 B/op	       2 allocs/op
